 ERB	 Fc	 rl	 rA	 rI	 Plin	 Ln	 NOS	 LTL	 SPL	 MOS_LQO
16.9416	11.6282	0	0	0	40.6913	50.4977	10.7497	63.145	79.62	1.6877
20.8177	11.9983	0	0	0	29.1707	32.5886	9.3256	56.676	80.14	2.5359
22.1516	12.0199	0	0	0	17.1383	18.2702	6.9769	50.663	79.95	2.544
22.1594	12.0187	0	0	0	8.1266	9.3792	4.2209	48.41	79.84	3.3514
22.1991	12.0412	0	0	0	4.055	4.3887	2.3479	47.937	79.84	3.5864
19.3797	11.9576	0	0	0	40.6513	45.9102	10.9805	52.574	83.75	2.2635
20.9943	12.0052	0	0	0	29.9679	34.3481	9.2822	48.819	81.49	2.4605
21.7708	12.0234	0	0	0	17.0849	20.3149	6.3094	45.341	80.12	2.546
22.0249	12.0356	0	0	0	8.0385	10.9422	3.4071	43.784	79.92	3.1546
22.1426	12.0409	0	0	0	3.8196	5.156	1.6507	43.586	79.91	3.3794
19.8	12.18	0	0	0	43.4598	53.7659	10.9599	62.885	79.97	2.2635
22.1019	12.0813	0	0	0	37.4568	37.403	10.1926	52.516	79.94	2.3486
22.1658	12.0371	0	0	0	20.4712	21.5172	7.6513	46.447	79.88	2.4598
